data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
2005-11-19,N,76,1.452,23.922,,,
2005-11-19,SIN,1.094,20.740,353.750,,,
2005-11-20,SE/CO,595,13.338,220.427,,,
2005-11-20,S,146,3.535,58.479,,,
2005-11-20,NE,152,3.309,51.817,,,
2005-11-20,N,74,1.526,23.996,,,
2005-11-20,SIN,967,21.708,354.718,,,
2005-11-21,SE/CO,694,14.032,221.121,,,
2005-11-21,S,195,3.730,58.674,,,
2005-11-21,NE,173,3.481,51.990,,,
2005-11-21,N,78,1.604,24.074,,,
2005-11-21,SIN,1.140,22.848,355.858,,,
2005-11-22,SE/CO,719,14.751,221.840,,,
2005-11-22,S,206,3.936,58.879,,,
2005-11-22,NE,178,3.659,52.168,,,
2005-11-22,N,79,1.683,24.153,,,
2005-11-22,SIN,1.182,24.030,357.040,,,
2005-11-23,SE/CO,735,15.486,222.575,,,
2005-11-23,S,211,4.147,59.115,,,
2005-11-23,NE,179,3.838,52.346,,,
2005-11-23,N,79,1.763,24.233,,,
2005-11-23,SIN,1.204,25.234,358.270,,,
2005-11-24,SE/CO,747,16.233,223.323,,,
2005-11-24,S,205,4.352,59.320,,,
2005-11-24,NE,179,4.017,52.525,,,
2005-11-24,N,79,1.842,24.312,,,
2005-11-24,SIN,1.210,26.444,359.480,,,
2005-11-25,SE/CO,745,16.979,224.068,,,
2005-11-25,S,197,4.549,59.517,,,
2005-11-25,NE,175,4.192,52.700,,,
2005-11-25,N,79,1.920,24.390,,,
2005-11-25,SIN,1.196,27.640,360.676,,,
2005-11-26,SE/CO,658,17.636,224.726,,,
2005-11-26,S,171,4.720,59.689,,,
2005-11-26,NE,164,4.356,52.864,,,
2005-11-26,N,77,1.997,24.467,,,
2005-11-26,SIN,1.069,28.710,361.745,,,
2005-11-27,SE/CO,569,18.205,225.295,,,
2005-11-27,S,145,4.866,59.834,,,
2005-11-27,NE,152,4.508,53.017,,,
2005-11-27,N,74,2.071,24.541,,,
2005-11-27,SIN,941,29.651,362.686,,,
2005-11-28,SE/CO,682,18.888,225.977,,,
2005-11-28,S,195,5.061,60.029,,,
