tipo,data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
Hidraulica,2017-03-10,Sudeste/Centro-Oeste,"652,61","6.147,71","41.368,17",,,
Hidraulica,2017-03-10,Itaipu,"246,99","2.389,95","16.863,99",,,
Hidraulica,2017-03-11,Norte,"235,97","2.555,72","12.088,78",,,
Hidraulica,2017-03-11,Nordeste,"54,21","592,52","3.837,88",,,
Hidraulica,2017-03-11,Sul,"162,75","2.252,04","17.145,17",,,
Hidraulica,2017-03-11,Sudeste/Centro-Oeste,"592,68","6.740,39","41.960,85",,,
Hidraulica,2017-03-11,Itaipu,"224,50","2.614,45","17.088,49",,,
Hidraulica,2017-03-12,Norte,"204,92","2.760,64","12.293,70",,,
Hidraulica,2017-03-12,Nordeste,"51,37","643,88","3.889,25",,,
Hidraulica,2017-03-12,Sul,"129,25","2.381,29","17.274,43",,,
Hidraulica,2017-03-12,Sudeste/Centro-Oeste,"494,17","7.234,56","42.455,02",,,
Hidraulica,2017-03-12,Itaipu,"234,03","2.848,48","17.322,52",,,
Hidraulica,2017-03-13,Norte,"241,48","3.002,12","12.535,17",,,
Hidraulica,2017-03-13,Nordeste,"53,74","697,63","3.942,99",,,
Hidraulica,2017-03-13,Sul,"207,52","2.588,82","17.481,95",,,
Hidraulica,2017-03-13,Sudeste/Centro-Oeste,"608,64","7.843,20","43.063,67",,,
Hidraulica,2017-03-13,Itaipu,"243,88","3.092,37","17.566,41",,,
Hidraulica,2017-03-14,Norte,"240,78","3.242,90","12.775,96",,,
Hidraulica,2017-03-14,Nordeste,"51,28","748,91","3.994,28",,,
Hidraulica,2017-03-14,Sul,"216,41","2.805,23","17.698,36",,,
Hidraulica,2017-03-14,Sudeste/Centro-Oeste,"594,99","8.438,19","43.658,66",,,
Hidraulica,2017-03-14,Itaipu,"256,61","3.348,98","17.823,02",,,
Hidraulica,2017-03-15,Norte,"238,94","3.481,84","13.014,89",,,
Hidraulica,2017-03-15,Nordeste,"51,23","800,14","4.045,50",,,
Hidraulica,2017-03-15,Sul,"208,50","3.013,73","17.906,86",,,
Hidraulica,2017-03-15,Sudeste/Centro-Oeste,"604,09","9.042,28","44.262,75",,,
Hidraulica,2017-03-15,Itaipu,"254,84","3.603,83","18.077,87",,,
Hidraulica,2017-03-16,Norte,"214,77","3.696,61","13.229,67",,,
Hidraulica,2017-03-16,Nordeste,"50,78","850,92","4.096,29",,,
Hidraulica,2017-03-16,Sul,"220,12","3.233,85","18.126,98",,,
Hidraulica,2017-03-16,Sudeste/Centro-Oeste,"614,04","9.656,32","44.876,79",,,
Hidraulica,2017-03-16,Itaipu,"257,85","3.861,68","18.335,72",,,
Hidraulica,2017-03-17,Norte,"233,04","3.929,65","13.462,71",,,
Hidraulica,2017-03-17,Nordeste,"51,90","902,82","4.148,19",,,
Hidraulica,2017-03-17,Sul,"198,11","3.431,96","18.325,09",,,
Hidraulica,2017-03-17,Sudeste/Centro-Oeste,"611,73","10.268,06","45.488,52",,,
Hidraulica,2017-03-17,Itaipu,"252,07","4.113,74","18.587,78",,,
Hidraulica,2017-03-18,Norte,"225,81","4.155,46","13.688,51",,,
Hidraulica,2017-03-18,Nordeste,"55,29","958,11","4.203,47",,,
Hidraulica,2017-03-18,Sul,"109,02","3.540,98","18.434,11",,,
Hidraulica,2017-03-18,Sudeste/Centro-Oeste,"559,53","10.827,59","46.048,05",,,
Hidraulica,2017-03-18,Itaipu,"233,35","4.347,09","18.821,13",,,
Hidraulica,2017-03-19,Norte,"195,26","4.350,72","13.883,78",,,
Hidraulica,2017-03-19,Nordeste,"48,31","1.006,42","4.251,79",,,
Hidraulica,2017-03-19,Sul,"71,67","3.612,65","18.505,78",,,
Hidraulica,2017-03-19,Sudeste/Centro-Oeste,"481,50","11.309,09","46.529,55",,,
Hidraulica,2017-03-19,Itaipu,"225,84","4.572,93","19.046,97",,,
Hidraulica,2017-03-20,Norte,"223,30","4.574,03","14.107,08",,,
Hidraulica,2017-03-20,Nordeste,"50,79","1.057,21","4.302,58",,,
Hidraulica,2017-03-20,Sul,"161,15","3.773,80","18.666,93",,,
Hidraulica,2017-03-20,Sudeste/Centro-Oeste,"574,68","11.883,77","47.104,23",,,
Hidraulica,2017-03-20,Itaipu,"229,95","4.802,88","19.276,92",,,
Hidraulica,2017-03-21,Norte,"239,81","4.813,84","14.346,89",,,
Hidraulica,2017-03-21,Nordeste,"58,25","1.115,47","4.360,83",,,
Hidraulica,2017-03-21,Sul,"173,99","3.947,79","18.840,92",,,
Hidraulica,2017-03-21,Sudeste/Centro-Oeste,"589,60","12.473,37","47.693,83",,,
Hidraulica,2017-03-21,Itaipu,"231,90","5.034,78","19.508,82",,,
Hidraulica,2017-03-22,Norte,"236,66","5.050,49","14.583,55",,,
Hidraulica,2017-03-22,Nordeste,"51,76","1.167,23","4.412,59",,,
Hidraulica,2017-03-22,Sul,"180,35","4.128,15","19.021,28",,,
Hidraulica,2017-03-22,Sudeste/Centro-Oeste,"598,09","13.071,46","48.291,92",,,
Hidraulica,2017-03-22,Itaipu,"237,07","5.271,85","19.745,89",,,
Hidraulica,2017-03-23,Norte,"237,39","5.287,88","14.820,94",,,
Hidraulica,2017-03-23,Nordeste,"51,45","1.218,68","4.464,04",,,
Hidraulica,2017-03-23,Sul,"183,36","4.311,51","19.204,64",,,
Hidraulica,2017-03-23,Sudeste/Centro-Oeste,"600,09","13.671,55","48.892,01",,,
Hidraulica,2017-03-23,Itaipu,"251,52","5.523,37","19.997,41",,,
Hidraulica,2017-03-24,Norte,"231,46","5.519,34","15.052,39",,,
Hidraulica,2017-03-24,Nordeste,"51,42","1.270,10","4.515,47",,,
Hidraulica,2017-03-24,Sul,"191,47","4.502,98","19.396,11",,,
Hidraulica,2017-03-24,Sudeste/Centro-Oeste,"590,04","14.261,59","49.482,05",,,
Hidraulica,2017-03-24,Itaipu,"247,13","5.770,50","20.244,54",,,
Hidraulica,2017-03-25,Norte,"207,99","5.727,33","15.260,38",,,
Hidraulica,2017-03-25,Nordeste,"52,65","1.322,75","4.568,12",,,
Hidraulica,2017-03-25,Sul,"131,25","4.634,23","19.527,36",,,
Hidraulica,2017-03-25,Sudeste/Centro-Oeste,"565,51","14.827,10","50.047,56",,,
Hidraulica,2017-03-25,Itaipu,"226,10","5.996,60","20.470,64",,,
Hidraulica,2017-03-26,Norte,"204,76","5.932,09","15.465,15",,,
Hidraulica,2017-03-26,Nordeste,"52,25","1.375,01","4.620,37",,,
Hidraulica,2017-03-26,Sul,"80,34","4.714,57","19.607,70",,,
Hidraulica,2017-03-26,Sudeste/Centro-Oeste,"486,65","15.313,75","50.534,21",,,
Hidraulica,2017-03-26,Itaipu,"222,84","6.219,44","20.693,48",,,
Hidraulica,2017-03-27,Norte,"238,54","6.170,63","15.703,69",,,
Hidraulica,2017-03-27,Nordeste,"61,29","1.436,29","4.681,66",,,
Hidraulica,2017-03-27,Sul,"152,61","4.867,18","19.760,31",,,
Hidraulica,2017-03-27,Sudeste/Centro-Oeste,"597,85","15.911,60","51.132,06",,,
Hidraulica,2017-03-27,Itaipu,"240,97","6.460,41","20.934,45",,,
Hidraulica,2017-03-28,Norte,"245,51","6.416,14","15.949,19",,,
Hidraulica,2017-03-28,Nordeste,"63,39","1.499,68","4.745,05",,,
Hidraulica,2017-03-28,Sul,"160,41","5.027,59","19.920,72",,,
Hidraulica,2017-03-28,Sudeste/Centro-Oeste,"607,31","16.518,90","51.739,37",,,
Hidraulica,2017-03-28,Itaipu,"238,91","6.699,32","21.173,36",,,
