tipo,data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
Termica,2006-04-05,S,28,139,2.945,,,
Termica,2006-04-05,NE,1,25,374,,,
Termica,2006-04-05,N,0,0,0,,,
Termica,2006-04-05,SIN,69,388,8.381,,,
Termica,2006-04-06,SE/CO,47,272,5.109,,,
Termica,2006-04-06,S,26,165,2.972,,,
Termica,2006-04-06,NE,4,29,378,,,
Termica,2006-04-06,N,0,0,0,,,
Termica,2006-04-06,SIN,78,466,8.459,,,
Termica,2006-04-07,SE/CO,49,322,5.159,,,
Termica,2006-04-07,S,26,191,2.998,,,
Termica,2006-04-07,NE,5,34,383,,,
Termica,2006-04-07,N,0,0,0,,,
Termica,2006-04-07,SIN,81,547,8.540,,,
Termica,2006-04-08,SE/CO,52,374,5.210,,,
Termica,2006-04-08,S,28,219,3.025,,,
Termica,2006-04-08,NE,5,39,388,,,
Termica,2006-04-08,N,0,0,0,,,
Termica,2006-04-08,SIN,84,631,8.624,,,
Termica,2006-04-09,SE/CO,50,423,5.260,,,
Termica,2006-04-09,S,30,249,3.056,,,
Termica,2006-04-09,NE,4,44,393,,,
Termica,2006-04-09,N,0,0,0,,,
Termica,2006-04-09,SIN,84,716,8.708,,,
Termica,2006-04-10,SE/CO,55,479,5.315,,,
Termica,2006-04-10,S,31,280,3.087,,,
Termica,2006-04-10,NE,1,44,393,,,
Termica,2006-04-10,N,0,0,0,,,
Termica,2006-04-10,SIN,87,802,8.795,,,
Termica,2006-04-11,SE/CO,54,533,5.370,,,
Termica,2006-04-11,S,28,307,3.114,,,
Termica,2006-04-11,NE,2,46,395,,,
Termica,2006-04-11,N,0,0,0,,,
Termica,2006-04-11,SIN,84,886,8.879,,,
Termica,2006-04-12,SE/CO,57,589,5.426,,,
Termica,2006-04-12,S,28,335,3.142,,,
Termica,2006-04-12,NE,5,51,400,,,
Termica,2006-04-12,N,0,0,0,,,
Termica,2006-04-12,SIN,89,976,8.968,,,
Termica,2006-04-13,SE/CO,57,647,5.483,,,
Termica,2006-04-13,S,27,362,3.169,,,
Termica,2006-04-13,NE,6,57,407,,,
