tipo,data,submercado,GWhDia,GWhAcMes,GWhAcAno,MWhDia,MWhAcMes,MWhAcAno
Eolica,2017-03-26,Nordeste,"50,94","1.288,50","5.327,01",,,
Eolica,2017-03-26,Sul,"24,39","361,65","1.006,61",,,
Eolica,2017-03-26,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-26,Sistema Interligado Nacional,"75,33","1.650,14","6.333,62",,,
Eolica,2017-03-27,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-27,Nordeste,"34,87","1.323,36","5.361,88",,,
Eolica,2017-03-27,Sul,"18,81","380,46","1.025,42",,,
Eolica,2017-03-27,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-27,Sistema Interligado Nacional,"53,68","1.703,82","6.387,30",,,
Eolica,2017-03-28,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-28,Nordeste,"32,27","1.355,64","5.394,15",,,
Eolica,2017-03-28,Sul,"18,06","398,51","1.043,48",,,
Eolica,2017-03-28,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-28,Sistema Interligado Nacional,"50,33","1.754,15","6.437,63",,,
Eolica,2017-03-29,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-29,Nordeste,"27,18","1.382,82","5.421,33",,,
Eolica,2017-03-29,Sul,"23,25","421,77","1.066,73",,,
Eolica,2017-03-29,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-29,Sistema Interligado Nacional,"50,43","1.804,58","6.488,06",,,
Eolica,2017-03-30,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-30,Nordeste,"28,68","1.411,50","5.450,01",,,
Eolica,2017-03-30,Sul,"20,96","442,72","1.087,69",,,
Eolica,2017-03-30,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-30,Sistema Interligado Nacional,"49,64","1.854,22","6.537,70",,,
Eolica,2017-03-31,Norte,"0,00","0,00","0,00",,,
Eolica,2017-03-31,Nordeste,"32,79","1.444,29","5.482,80",,,
Eolica,2017-03-31,Sul,"16,79","459,51","1.104,47",,,
Eolica,2017-03-31,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-03-31,Sistema Interligado Nacional,"49,58","1.903,80","6.587,28",,,
Eolica,2017-04-01,Norte,"0,00","0,00","0,00",,,
Eolica,2017-04-01,Nordeste,"44,33","44,33","5.569,68",,,
Eolica,2017-04-01,Sul,"22,94","22,94","1.127,02",,,
Eolica,2017-04-01,Sudeste/Centro-Oeste,"0,00","0,00","0,00",,,
Eolica,2017-04-01,Sistema Interligado Nacional,"67,27","67,27","6.696,70",,,
Eolica,2017-04-02,Norte,"0,00","0,00","0,00",,,
Eolica,2017-04-02,Nordeste,"35,16","77,69","5.560,50",,,
Eolica,2017-04-02,Sul,"23,58","46,53","1.151,00",,,
